title,url,is_paid,course_by,skills,cluster_predicted
Introduction to Statistics,https://www.coursera.org/learn/stanford-statistics,False,Stanford University,Data Science,1
Introduction to Statistics,https://www.coursera.org/learn/stanford-statistics,False,Stanford University, General Statistics,2
Introduction to Statistics,https://www.coursera.org/learn/stanford-statistics,False,Stanford University, Probability & Statistics,1
Introduction to Statistics,https://www.coursera.org/learn/stanford-statistics,False,Stanford University, Statistical Tests,1
Introduction to Statistics,https://www.coursera.org/learn/stanford-statistics,False,Stanford University, Estimation,2
Introduction to Statistics,https://www.coursera.org/learn/stanford-statistics,False,Stanford University, Basic Descriptive Statistics,2
Introduction to Statistics,https://www.coursera.org/learn/stanford-statistics,False,Stanford University, Correlation And Dependence,2
Introduction to Statistics,https://www.coursera.org/learn/stanford-statistics,False,Stanford University, Probability Distribution,1
Introduction to Statistics,https://www.coursera.org/learn/stanford-statistics,False,Stanford University, Regression,1
Introduction to Statistics,https://www.coursera.org/learn/stanford-statistics,False,Stanford University, Bayesian Statistics,2
Introduction to Statistics,https://www.coursera.org/learn/stanford-statistics,False,Stanford University, Data Analysis,2
Introduction to Statistics,https://www.coursera.org/learn/stanford-statistics,False,Stanford University, Data Visualization,2
Introduction to Statistics,https://www.coursera.org/learn/stanford-statistics,False,Stanford University, Econometrics,2
Introduction to Statistics,https://www.coursera.org/learn/stanford-statistics,False,Stanford University, Experiment,2
Introduction to Statistics,https://www.coursera.org/learn/stanford-statistics,False,Stanford University, Machine Learning,2
Introduction to Statistics,https://www.coursera.org/learn/stanford-statistics,False,Stanford University, Markov Model,2
Introduction to Statistics,https://www.coursera.org/learn/stanford-statistics,False,Stanford University, Plot (Graphics),1
Introduction to Statistics,https://www.coursera.org/learn/stanford-statistics,False,Stanford University, Statistical Analysis,1
Introduction to Statistics,https://www.coursera.org/learn/stanford-statistics,False,Stanford University, Statistical Visualization,1
Overcoming Dyslexia,https://www.coursera.org/learn/dyslexia,False,Yale University,Web Design,4
Overcoming Dyslexia,https://www.coursera.org/learn/dyslexia,False,Yale University, Web Development,0
Overcoming Dyslexia,https://www.coursera.org/learn/dyslexia,False,Yale University, Algebra,0
Overcoming Dyslexia,https://www.coursera.org/learn/dyslexia,False,Yale University, Mathematics,0
Medical Neuroscience,https://www.coursera.org/learn/medical-neuroscience,False,Duke University,Cyberattacks,1
Medical Neuroscience,https://www.coursera.org/learn/medical-neuroscience,False,Duke University, Security Engineering,1
Medical Neuroscience,https://www.coursera.org/learn/medical-neuroscience,False,Duke University, Computer Networking,2
Medical Neuroscience,https://www.coursera.org/learn/medical-neuroscience,False,Duke University, Computer Architecture,2
Medical Neuroscience,https://www.coursera.org/learn/medical-neuroscience,False,Duke University, Network Architecture,1
Forensic Accounting and Fraud Examination,https://www.coursera.org/learn/forensic-accounting,False,West Virginia University,Cryptography,4
Forensic Accounting and Fraud Examination,https://www.coursera.org/learn/forensic-accounting,False,West Virginia University, Theoretical Computer Science,4
Forensic Accounting and Fraud Examination,https://www.coursera.org/learn/forensic-accounting,False,West Virginia University, Security Engineering,4
Forensic Accounting and Fraud Examination,https://www.coursera.org/learn/forensic-accounting,False,West Virginia University, Algebra,5
Forensic Accounting and Fraud Examination,https://www.coursera.org/learn/forensic-accounting,False,West Virginia University, Mathematical Theory & Analysis,5
Forensic Accounting and Fraud Examination,https://www.coursera.org/learn/forensic-accounting,False,West Virginia University, Mathematics,5
Cryptography I,https://www.coursera.org/learn/crypto,False,Stanford University,Data Management,4
Cryptography I,https://www.coursera.org/learn/crypto,False,Stanford University, Leadership and Management,5
Cryptography I,https://www.coursera.org/learn/crypto,False,Stanford University, Clinical Data Management,5
