title,url,is_paid,course_by,skills,cluster_predicted
160,237,0,49,279,1
160,237,0,49,109,2
160,237,0,49,171,1
160,237,0,49,216,1
160,237,0,49,95,2
160,237,0,49,15,2
160,237,0,49,60,2
160,237,0,49,172,1
160,237,0,49,189,1
160,237,0,49,17,2
160,237,0,49,68,2
160,237,0,49,74,2
160,237,0,49,89,2
160,237,0,49,96,2
160,237,0,49,134,2
160,237,0,49,142,2
160,237,0,49,170,1
160,237,0,49,213,1
160,237,0,49,217,1
210,76,0,107,325,4
210,76,0,107,241,0
210,76,0,107,5,0
210,76,0,107,145,0
195,182,0,11,276,1
195,182,0,11,201,1
195,182,0,11,52,2
195,182,0,11,49,2
195,182,0,11,155,1
90,95,0,106,275,4
90,95,0,106,229,4
90,95,0,106,201,4
90,95,0,106,5,5
90,95,0,106,144,5
90,95,0,106,145,5
55,52,0,49,278,4
55,52,0,49,131,5
55,52,0,49,39,5
55,52,0,49,192,4
55,52,0,49,68,5
55,52,0,49,77,5
55,52,0,49,79,5
55,52,0,49,98,5
55,52,0,49,231,4
55,52,0,49,133,5
55,52,0,49,213,4
55,52,0,49,224,4
55,52,0,49,78,5
274,38,0,81,267,0
274,38,0,81,117,0
274,38,0,81,238,0
274,38,0,81,101,0
274,38,0,81,124,0
274,38,0,81,23,0
274,38,0,81,140,0
274,38,0,81,1,0
274,38,0,81,4,0
274,38,0,81,20,0
274,38,0,81,27,0
274,38,0,81,33,0
274,38,0,81,41,0
274,38,0,81,46,0
274,38,0,81,49,0
274,38,0,81,57,0
274,38,0,81,64,0
274,38,0,81,68,0
274,38,0,81,70,0
274,38,0,81,80,0
274,38,0,81,85,0
274,38,0,81,93,0
274,38,0,81,100,0
274,38,0,81,103,0
274,38,0,81,116,0
274,38,0,81,120,0
274,38,0,81,131,0
274,38,0,81,134,0
274,38,0,81,159,0
274,38,0,81,163,0
274,38,0,81,190,0
274,38,0,81,201,0
274,38,0,81,206,0
274,38,0,81,207,0
274,38,0,81,208,0
274,38,0,81,225,0
274,38,0,81,234,0
274,38,0,81,19,0
274,38,0,81,88,0
274,38,0,81,108,0
274,38,0,81,196,0
215,211,0,62,261,1
215,211,0,62,52,2
215,211,0,62,157,1
