url,is_paid,course_by,title,skills,ratings,reviews,"level, type and duration"
https://www.coursera.org/learn/stanford-statistics,FALSE,Stanford University,Introduction to Statistics,"Data Science, General Statistics, Probability & Statistics, Statistical Tests, Estimation, Basic Descriptive Statistics, Correlation And Dependence, Probability Distribution, Regression, Bayesian Statistics, Data Analysis, Data Visualization, Econometrics, Experiment, Machine Learning, Markov Model, Plot (Graphics), Statistical Analysis, Statistical Visualization",4.6,(2k reviews),Beginner · Course · 1-3 Months
https://www.coursera.org/learn/dyslexia,FALSE,Yale University,Overcoming Dyslexia,"Web Design, Web Development, Algebra, Mathematics",4.7,(104 reviews),Beginner · Course · 1-3 Months
https://www.coursera.org/learn/medical-neuroscience,FALSE,Duke University,Medical Neuroscience,"Cyberattacks, Security Engineering, Computer Networking, Computer Architecture, Network Architecture",4.9,(2.6k reviews),Advanced · Course · 3-6 Months
https://www.coursera.org/learn/forensic-accounting,FALSE,West Virginia University,Forensic Accounting and Fraud Examination,"Cryptography, Theoretical Computer Science, Security Engineering, Algebra, Mathematical Theory & Analysis, Mathematics",4.7,(5k reviews),Mixed · Course · 1-3 Months
https://www.coursera.org/learn/crypto,FALSE,Stanford University,Cryptography I,"Data Management, Leadership and Management, Clinical Data Management, Research and Design, Data Analysis, Database Application, Databases, Extract, Transform, Load, Statistical Analysis, Survey Creation, Database Design",4.8,(4.1k reviews),Mixed · Course · 1-3 Months
https://www.coursera.org/learn/clinical-research,FALSE,University of Cape Town,Understanding Clinical Research: Behind the Statistics,"Computer Graphics, Human Computer Interaction, Virtual Reality, Finance, Interactive Design, BlockChain, Marketing, Accounting, Advertising, Big Data, Business Analysis, Business Psychology, Cloud Computing, Communication, Computer Architecture, Computer Vision, Culture, Data Analysis, Data Management, Decision Making, Digital Marketing, Entrepreneurship, FinTech, Financial Analysis, Hardware Design, Human Resources, Leadership and Management, Machine Learning, Operating Systems, Organizational Development, Regulations and Compliance, Security Engineering, Software Engineering, Software Engineering Tools, Software Security, System Security, User Experience, Benefits, E-Commerce, General Accounting, Sales",4.8,(3.1k reviews),Mixed · Course · 1-3 Months
https://www.coursera.org/learn/positive-psychiatry,FALSE,The University of Sydney,Positive Psychiatry and Mental Health,"Cloud Computing, Computer Networking, Network Security, Operating Systems, Security Engineering, System Security, Cloud Platforms, Programming Principles, Systems Design, Theoretical Computer Science",4.8,(3.2k reviews),Mixed · Course · 1-3 Months
https://www.coursera.org/learn/what-is-the-metaverse,FALSE,Meta,What is the Metaverse?,"Mathematical Theory & Analysis, Mathematics, Business Analysis, Critical Thinking, Research and Design, Strategy and Operations",4.6,(495 reviews),Beginner · Course · 1-3 Months
https://www.coursera.org/learn/advanced-valuation-and-strategy,FALSE,Erasmus University Rotterdam,"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital","Computer Programming, Python Programming, Computational Thinking, Computational Logic, Business Analysis, Critical Thinking, Entrepreneurship, Leadership and Management, Problem Solving, Programming Principles, Research and Design, Statistical Programming, Strategy and Operations, Theoretical Computer Science",4.6,(1.1k reviews),Advanced · Course · 1-3 Months
https://www.coursera.org/learn/american-law,FALSE,University of Pennsylvania,An Introduction to American Law,"Computer Programming, Python Programming, Statistical Programming, Programming Principles",4.8,(4.5k reviews),Beginner · Course · 1-3 Months
