advertiserurl,company,employmenttype_jobstatus,jobdescription,skills,cluster_predicted
282,345,106,444,1739,5
299,324,9,353,1785,5
299,324,9,353,719,1
299,324,9,353,903,1
299,324,9,353,965,1
299,324,9,353,818,1
299,324,9,353,801,1
299,324,9,353,149,0
299,324,9,353,132,0
299,324,9,353,52,0
299,324,9,353,863,1
299,324,9,353,745,1
299,324,9,353,930,1
299,324,9,353,840,1
299,324,9,353,438,0
299,324,9,353,562,0
299,324,9,353,193,0
299,324,9,353,100,0
299,324,9,353,866,1
299,324,9,353,678,1
299,324,9,353,938,1
299,324,9,353,686,1
299,324,9,353,791,1
299,324,9,353,206,0
299,324,9,353,747,1
293,122,26,437,1580,5
293,122,26,437,714,1
293,122,26,437,10,0
293,122,26,437,172,0
293,122,26,437,1431,2
293,122,26,437,714,1
293,122,26,437,866,1
293,122,26,437,916,1
254,110,233,334,1807,5
254,110,233,334,818,1
254,110,233,334,840,1
254,110,233,334,52,0
254,110,233,334,0,0
285,440,196,614,1739,5
285,440,196,614,779,1
285,440,196,614,866,1
285,440,196,614,94,0
285,440,196,614,1088,2
285,440,196,614,172,0
285,440,196,614,52,0
285,440,196,614,532,0
295,402,233,364,1887,5
295,402,233,364,539,0
295,402,233,364,965,1
295,402,233,364,562,3
295,402,233,364,193,0
295,402,233,364,438,0
295,402,233,364,96,0
295,402,233,364,866,1
295,402,233,364,52,0
279,232,146,627,1677,5
279,232,146,627,172,0
279,232,146,627,539,0
279,232,146,627,818,1
279,232,146,627,903,1
279,232,146,627,22,0
279,232,146,627,934,1
279,232,146,627,555,3
279,232,146,627,438,0
279,232,146,627,406,0
301,363,146,498,1844,5
301,363,146,498,866,1
301,363,146,498,562,3
301,363,146,498,77,0
301,363,146,498,790,1
284,394,146,416,2035,5
284,394,146,416,1382,2
283,394,146,416,2035,5
283,394,146,416,1382,2
481,186,236,449,1585,5
481,186,236,449,323,4
481,186,236,449,790,3
481,186,236,449,821,3
701,348,146,474,1594,5
702,384,146,716,1809,5
702,384,146,716,706,3
702,384,146,716,1043,2
61,36,229,586,2048,5
61,36,229,586,1382,2
61,36,229,586,1513,5
61,36,229,586,312,0
61,36,229,586,934,1
61,36,229,586,763,1
61,36,229,586,747,1
61,36,229,586,818,1
61,36,229,586,1086,1
61,36,229,586,349,0
61,36,229,586,149,0
60,36,229,586,2048,5
60,36,229,586,1382,2
60,36,229,586,1513,5
60,36,229,586,312,0
60,36,229,586,934,1
60,36,229,586,763,1
60,36,229,586,747,1
60,36,229,586,818,1
60,36,229,586,1086,1
60,36,229,586,349,0
60,36,229,586,149,0
703,384,146,716,1809,5
703,384,146,716,706,3
703,384,146,716,1043,2
297,442,146,647,1743,5
300,115,146,572,1635,5
300,115,146,572,107,0
300,115,146,572,149,0
300,115,146,572,161,0
300,115,146,572,168,0
300,115,146,572,300,0
300,115,146,572,317,0
300,115,146,572,415,0
300,115,146,572,539,3
300,115,146,572,555,3
300,115,146,572,610,3
300,115,146,572,648,3
300,115,146,572,686,3
300,115,146,572,1407,2
300,115,146,572,711,3
300,115,146,572,926,1
300,115,146,572,934,1
300,115,146,572,938,1
300,115,146,572,1109,2
300,115,146,572,1102,2
300,115,146,572,1186,2
352,376,46,488,1947,5
352,376,46,488,524,3
352,376,46,488,840,1
352,376,46,488,537,3
352,376,46,488,925,1
352,376,46,488,524,3
561,269,33,336,1849,5
269,48,67,5,1612,5
269,48,67,5,539,0
269,48,67,5,1013,1
269,48,67,5,462,0
269,48,67,5,847,1
269,48,67,5,1166,2
269,48,67,5,308,0
269,48,67,5,934,1
269,48,67,5,97,0
559,160,204,103,1575,5
559,160,204,103,72,4
559,160,204,103,315,4
559,160,204,103,555,3
559,160,204,103,610,3
559,160,204,103,729,3
559,160,204,103,731,3
559,160,204,103,807,3
559,160,204,103,1049,2
559,160,204,103,1172,2
356,381,22,470,1629,5
356,381,22,470,554,3
356,381,22,470,1014,1
356,381,22,470,462,0
281,307,213,342,1607,5
281,307,213,342,107,0
281,307,213,342,114,0
281,307,213,342,246,0
281,307,213,342,255,0
281,307,213,342,315,0
281,307,213,342,317,0
281,307,213,342,489,0
281,307,213,342,807,1
281,307,213,342,921,1
281,307,213,342,1000,1
281,307,213,342,1049,1
281,307,213,342,1070,1
281,307,213,342,1112,2
315,414,89,54,1941,5
315,414,89,54,448,0
260,469,99,374,1673,5
260,469,99,374,44,0
260,469,99,374,938,1
260,469,99,374,438,0
260,469,99,374,193,0
260,469,99,374,555,0
275,180,146,25,1758,5
275,180,146,25,1368,2
275,180,146,25,193,0
275,180,146,25,100,0
275,180,146,25,555,0
275,180,146,25,957,1
275,180,146,25,1199,2
275,180,146,25,0,0
268,4,2,32,1739,5
268,4,2,32,172,0
268,4,2,32,639,1
268,4,2,32,938,1
268,4,2,32,526,0
268,4,2,32,100,0
268,4,2,32,132,0
268,4,2,32,892,1
304,462,176,411,1675,5
18,448,78,620,1846,5
18,448,78,620,158,0
18,448,78,620,993,1
18,448,78,620,1368,2
18,448,78,620,841,1
18,448,78,620,100,0
18,448,78,620,1087,1
18,448,78,620,431,0
18,448,78,620,432,0
18,448,78,620,438,0
18,448,78,620,193,0
18,448,78,620,555,0
18,448,78,620,731,1
18,448,78,620,688,1
18,448,78,620,132,0
18,448,78,620,52,0
18,448,78,620,225,0
314,265,102,234,1745,5
314,265,102,234,132,0
314,265,102,234,1145,2
314,265,102,234,265,0
314,265,102,234,1334,2
12,329,189,12,1673,5
12,329,189,12,120,0
12,329,189,12,438,0
12,329,189,12,193,0
12,329,189,12,564,0
11,216,86,382,1602,5
11,216,86,382,172,0
11,216,86,382,446,0
11,216,86,382,93,0
11,216,86,382,1666,5
11,216,86,382,193,0
11,216,86,382,1613,5
11,216,86,382,532,0
429,237,31,127,1750,5
429,237,31,127,1915,5
429,237,31,127,1751,5
429,237,31,127,1914,5
429,237,31,127,1056,2
429,237,31,127,486,3
429,237,31,127,282,4
429,237,31,127,1057,2
694,45,228,387,1958,5
694,45,228,387,618,3
694,45,228,387,388,4
694,45,228,387,178,4
694,45,228,387,539,3
694,45,228,387,1172,2
694,45,228,387,610,3
448,97,39,355,1859,5
685,252,13,600,1916,5
685,252,13,600,277,4
323,159,102,653,1720,5
